variable_name,variable_description,months,variable_type
childPositiveFreePlayChildPres,"Child Positive Free Play - Other Child Present?; 0 = no, 1 = yes ","30,36,42,54",numeric
childPositiveFreePlayPositiveAffect,Weighted summary of Free Play variables: childPositiveFreePlayNoPositiveP*0 + childPositiveFreePlayPositiveP*1 + childPositiveFreePlayHiPositiveP*2,"30,36,42,54",
childPositiveFreePlayNoPositiveP,Number of Intervals with no positive affect /free play intervals,"30,36,42,54",
childPositiveFreePlayPositiveP,Number of Intervals with positive affect /free play intervals,"30,36,42,54",
childPositiveFreePlayHiPositiveP,Number of Intervals with high positive affect /free play intervals,"30,36,42,54",
childPositivePhoneCallChildPres,"Child Positive Phone Call - Other Child Present? 0=no, 1=yes","30,36,42,54",numeric,
childPositivePhoneCallPositiveAffect,Weighted summary of Phone Call variables: childPositivePhoneCallNoPositiveP*0 + childPositivePhoneCallPositiveP*1 + childPositivePhoneCallHiPositiveP*2,"30,36,42,54",,
childPositivePhoneCallNoPositiveP,Number of Intervals with no positive affect /phone call intervals,"30,36,42,54",,
childPositivePhoneCallPositiveP,Number of Intervals with positive affect /phone call intervals,"30,36,42,54",,
childPositivePhoneCallHiPositiveP,Number of Intervals with high positive affect /phone call intervals,"30,36,42,54",,
childPositiveToyCleanupChildPres,"Child Positive Toy Clean Up- Other Child Present? 0=no, 1=yes","30,36,42,54",numeric,
childPositiveToyCleanUpPositiveAffect,Weighted summary of Toy Clean Up variables: childPositiveToyCleanUpNoPositiveP*0 + childPositiveToyCleanUpPositiveP*1 + childPositiveToyCleanUpHiPositiveP*2,"30,36,42,54",,
childPositiveToyCleanUpNoPositiveP,Number of Intervals with no positive affect /toy clean up intervals,"30,36,42,54",,
childPositiveToyCleanUpPositiveP,Number of Intervals with positive affect /toy clean up intervals,"30,36,42,54",,
childPositiveToyCleanUpHiPositiveP,Number of Intervals with high positive affect /toy clean up intervals,"30,36,42,54",,
childPositiveToyProhibitionChildPres,"Child Positive Toy Prohibition- Other Child Present? 0=no, 1=yes","30,36,42,54",numeric,
childPositiveToyProhibitionPositiveAffect,Weighted summary of Toy Prohibition Variables: childPositiveToyProhibitionNoPositiveP*0 + childPositiveToyProhibitionPositiveP*1 + childPositiveToyProhibitionHiPositiveP*2,"30,36,42,54",,
childPositiveToyProhibitionNoPositiveP,Number of Intervals with no positive affect /toy prohibition intervals,"30,36,42,54",,
childPositiveToyProhibitionPositiveP,Number of Intervals with positive affect /toy prohibition intervals,"30,36,42,54",,
childPositiveToyProhibitionHiPositiveP,Number of Intervals with high positive affect /toy prohibition intervals,"30,36,42,54",,
